iter	Passed	Remaining
0	1	157
1	2	143
2	4	139
3	5	133
4	7	138
5	8	135
6	10	134
7	11	132
8	13	135
9	14	132
10	16	129
11	17	128
12	18	126
13	20	125
14	21	124
15	23	122
16	24	121
17	26	121
18	27	119
19	29	117
20	30	115
21	32	113
22	33	111
23	34	110
24	36	108
25	37	107
26	38	105
27	40	104
28	41	102
29	43	101
30	44	100
31	46	98
32	47	96
33	49	95
34	50	93
35	51	92
36	53	90
37	54	89
38	56	88
39	57	86
40	59	85
41	59	82
42	60	80
43	62	79
44	63	77
45	65	76
46	66	74
47	67	73
48	69	72
49	70	70
50	72	69
51	73	67
52	74	66
53	76	65
54	77	63
55	78	61
56	79	60
57	81	58
58	82	57
59	83	55
60	85	54
61	86	53
62	87	51
63	89	50
64	90	48
65	92	47
66	93	46
67	94	44
68	96	43
69	97	41
70	99	40
71	100	39
72	101	37
73	103	36
74	104	34
75	105	33
76	107	32
77	108	30
78	109	29
79	111	27
80	112	26
81	114	25
82	115	23
83	116	22
84	118	20
85	119	19
86	120	18
87	122	16
88	123	15
89	124	13
90	126	12
91	127	11
92	129	9
93	130	8
94	131	6
95	133	5
96	134	4
97	135	2
98	136	1
99	138	0
