iter	Passed	Remaining
0	67	67154
1	67	33872
2	68	22773
3	69	17203
4	69	13859
5	70	11626
6	70	10036
7	71	8870
8	72	7960
9	72	7220
10	73	6620
11	74	6116
12	74	5684
13	75	5313
14	76	4992
15	76	4709
16	80	4650
17	81	4434
18	81	4228
19	82	4044
20	83	3876
21	84	3745
22	85	3632
23	86	3505
24	86	3387
25	87	3275
26	87	3170
27	88	3076
28	89	2985
29	89	2906
30	91	2854
31	92	2793
32	93	2728
33	93	2663
34	94	2606
35	95	2548
36	95	2496
37	96	2455
38	97	2409
39	98	2364
40	99	2319
41	99	2276
42	100	2236
43	101	2196
44	101	2161
45	102	2130
46	103	2105
47	104	2077
48	105	2044
49	105	2012
50	106	1980
51	106	1950
52	107	1920
53	108	1894
54	108	1870
55	109	1845
56	110	1820
57	110	1797
58	111	1773
59	111	1750
60	112	1728
61	112	1707
62	113	1686
63	113	1665
64	114	1645
65	114	1626
66	115	1607
67	116	1590
68	116	1574
69	117	1558
70	117	1542
71	118	1526
72	119	1512
73	119	1499
74	120	1486
75	121	1473
76	121	1460
77	122	1446
78	122	1432
79	123	1419
80	123	1406
81	124	1393
82	124	1378
83	125	1365
84	125	1354
85	126	1344
86	127	1334
87	127	1324
88	128	1314
89	129	1304
90	129	1294
91	130	1285
92	130	1275
93	131	1265
94	131	1255
95	132	1246
96	133	1238
97	133	1230
98	134	1222
99	134	1214
100	135	1205
101	136	1197
102	136	1189
103	137	1181
104	137	1173
105	138	1165
106	138	1158
107	139	1151
108	139	1144
109	140	1137
110	141	1129
111	141	1123
112	142	1116
113	142	1110
114	143	1103
115	143	1096
116	144	1089
117	144	1083
118	145	1078
119	146	1072
120	146	1067
121	147	1060
122	147	1054
123	148	1049
124	149	1043
125	149	1037
126	150	1031
127	150	1025
128	151	1019
129	151	1015
130	152	1010
131	152	1006
132	153	1001
133	154	995
134	154	991
135	155	985
136	155	981
137	156	976
138	156	971
139	157	966
140	157	962
141	158	956
142	158	952
143	159	948
144	160	944
145	160	940
146	161	936
147	161	931
148	162	927
149	162	923
150	163	919
151	164	915
152	165	915
153	166	912
154	166	907
155	167	904
156	167	901
157	168	897
158	168	893
159	169	889
160	169	884
161	170	881
162	171	878
163	171	875
164	172	871
165	172	867
166	173	864
167	173	861
168	174	857
169	175	854
170	175	850
171	176	847
172	176	844
173	177	842
174	178	839
175	178	836
176	179	834
177	180	831
178	180	828
179	181	825
180	181	822
181	182	819
182	182	816
183	183	813
184	184	811
185	184	808
186	185	806
187	186	803
188	186	801
189	187	797
190	187	795
191	188	792
192	188	790
193	189	787
194	190	786
195	190	783
196	191	780
197	192	778
198	192	776
199	193	773
200	193	770
201	194	768
202	194	765
203	195	763
204	196	761
205	197	759
206	197	757
207	198	755
208	198	752
209	199	750
210	200	748
211	200	745
212	201	743
213	201	740
214	202	739
215	203	736
216	203	734
217	204	732
218	204	730
219	205	728
220	205	725
221	206	723
222	206	721
223	207	718
224	208	717
225	208	715
226	209	713
227	210	711
228	210	709
229	211	707
230	211	705
231	212	703
232	212	700
233	213	698
234	213	696
235	214	694
236	215	693
237	215	691
238	216	689
239	217	688
240	217	686
241	218	684
242	218	682
243	219	680
244	220	677
245	220	676
246	221	674
247	221	673
248	222	671
249	223	669
250	223	667
251	224	665
252	224	664
253	225	662
254	225	660
255	226	658
256	227	656
257	227	655
258	228	653
259	228	651
260	229	649
261	230	648
262	230	646
263	231	644
264	231	642
265	232	640
266	232	639
267	233	638
268	234	636
269	235	635
270	235	633
271	236	632
272	236	630
273	237	629
274	238	627
275	238	625
276	239	624
277	239	623
278	240	621
279	241	620
280	241	618
281	242	617
282	243	615
283	243	614
284	244	612
285	244	610
286	245	609
287	245	608
288	246	606
289	247	605
290	247	603
291	248	602
292	248	600
293	249	599
294	250	597
295	250	595
296	251	594
297	251	592
298	252	591
299	252	590
300	253	588
301	254	587
302	254	585
303	255	584
304	255	582
305	256	581
306	256	579
307	257	578
308	258	576
309	258	575
310	259	574
311	259	572
312	260	571
313	261	570
314	261	569
315	262	567
316	262	566
317	263	564
318	263	563
319	264	562
320	265	560
321	265	559
322	266	558
323	266	557
324	267	555
325	268	554
326	268	553
327	269	551
328	269	550
329	270	548
330	270	547
331	271	546
332	272	544
333	272	543
334	273	542
335	273	541
336	274	540
337	275	538
338	275	537
339	276	535
340	276	534
341	277	533
342	277	532
343	278	531
344	279	530
345	279	528
346	280	527
347	280	526
348	281	525
349	282	523
350	282	522
351	283	521
352	283	520
353	284	518
354	285	517
355	285	516
356	286	515
357	286	514
358	287	513
359	287	511
360	288	510
361	288	509
362	289	508
363	290	507
364	290	506
365	291	505
366	292	503
367	292	502
368	293	501
369	293	500
370	294	499
371	294	497
372	295	496
373	296	495
374	296	494
375	297	493
376	298	492
377	298	491
378	299	490
379	299	489
380	300	488
381	301	486
382	301	485
383	302	484
384	302	483
385	303	482
386	304	481
387	304	480
388	305	479
389	305	478
390	306	477
391	307	476
392	307	475
393	308	474
394	308	473
395	309	472
396	310	471
397	310	470
398	311	469
399	312	468
400	312	467
401	313	466
402	313	465
403	314	464
404	315	463
405	315	462
406	316	461
407	316	459
408	317	458
409	318	457
410	318	456
411	319	455
412	319	454
413	320	453
414	321	452
415	321	451
416	322	450
417	322	449
418	323	448
419	324	447
420	324	446
421	325	445
422	325	444
423	326	443
424	326	442
425	327	441
426	328	440
427	328	439
428	329	438
429	329	437
430	330	436
431	331	435
432	331	434
433	332	433
434	332	431
435	333	430
436	333	429
437	334	429
438	335	428
439	335	427
440	336	426
441	336	425
442	337	423
443	337	422
444	338	421
445	338	420
446	339	419
447	340	418
448	340	417
449	341	416
450	341	415
451	342	414
452	342	414
453	343	413
454	344	412
455	344	411
456	345	410
457	345	409
458	346	408
459	346	407
460	347	406
461	348	405
462	348	404
463	349	403
464	349	402
465	350	401
466	350	400
467	351	399
468	352	398
469	352	397
470	353	397
471	354	396
472	354	395
473	355	394
474	356	393
475	356	392
476	357	391
477	357	390
478	358	390
479	359	389
480	360	388
481	360	387
482	361	386
483	361	385
484	362	384
485	363	383
486	363	383
487	364	382
488	364	381
489	365	380
490	366	379
491	366	378
492	367	377
493	367	376
494	368	376
495	369	375
496	369	374
497	370	373
498	370	372
499	371	371
500	372	370
501	372	369
502	373	368
503	374	368
504	374	367
505	375	366
506	375	365
507	376	364
508	376	363
509	377	362
510	378	361
511	378	361
512	379	360
513	380	359
514	380	358
515	381	357
516	381	356
517	382	355
518	383	354
519	383	354
520	384	353
521	384	352
522	385	351
523	385	350
524	386	349
525	387	348
526	387	347
527	388	347
528	388	346
529	389	345
530	389	344
531	390	343
532	391	342
533	391	341
534	392	341
535	393	340
536	393	339
537	394	338
538	394	337
539	395	336
540	395	335
541	396	334
542	396	334
543	397	333
544	398	332
545	398	331
546	399	330
547	399	329
548	400	329
549	401	328
550	401	327
551	402	326
552	402	325
553	403	324
554	404	324
555	404	323
556	405	322
557	405	321
558	406	320
559	407	319
560	407	318
561	408	318
562	408	317
563	409	316
564	410	315
565	410	314
566	411	313
567	411	313
568	412	312
569	412	311
570	413	310
571	414	309
572	414	309
573	415	308
574	416	307
575	416	306
576	417	305
577	417	305
578	418	304
579	419	303
580	419	302
581	420	301
582	420	301
583	421	300
584	422	299
585	422	298
586	423	297
587	424	297
588	424	296
589	425	295
590	425	294
591	426	293
592	427	293
593	427	292
594	428	291
595	429	290
596	429	290
597	430	289
598	430	288
599	431	287
600	432	286
601	432	285
602	433	285
603	433	284
604	434	283
605	434	282
606	435	282
607	436	281
608	436	280
609	437	279
610	437	278
611	438	277
612	438	277
613	439	276
614	439	275
615	440	274
616	441	273
617	441	273
618	442	272
619	443	271
620	443	270
621	444	269
622	444	269
623	445	268
624	445	267
625	446	266
626	447	266
627	447	265
628	448	264
629	449	263
630	450	263
631	450	262
632	451	261
633	451	260
634	452	260
635	452	259
636	453	258
637	454	257
638	454	256
639	455	256
640	456	255
641	456	254
642	457	253
643	457	253
644	458	252
645	458	251
646	459	250
647	460	249
648	460	249
649	461	248
650	462	247
651	462	246
652	463	246
653	463	245
654	464	244
655	465	243
656	465	243
657	466	242
658	466	241
659	467	240
660	468	240
661	468	239
662	469	238
663	469	237
664	470	236
665	470	236
666	471	235
667	471	234
668	472	233
669	473	233
670	473	232
671	474	231
672	474	230
673	475	229
674	475	229
675	476	228
676	476	227
677	477	226
678	478	226
679	479	225
680	479	224
681	480	223
682	480	223
683	481	222
684	482	221
685	482	220
686	483	220
687	483	219
688	484	218
689	485	217
690	485	217
691	486	216
692	486	215
693	487	214
694	487	214
695	488	213
696	489	212
697	489	211
698	490	211
699	491	210
700	491	209
701	492	208
702	492	208
703	493	207
704	493	206
705	494	205
706	495	205
707	495	204
708	496	203
709	496	202
710	497	202
711	497	201
712	498	200
713	499	199
714	499	199
715	500	198
716	500	197
717	501	196
718	501	196
719	502	195
720	503	194
721	503	193
722	504	193
723	504	192
724	505	191
725	506	190
726	506	190
727	507	189
728	507	188
729	508	188
730	508	187
731	509	186
732	510	185
733	510	185
734	511	184
735	511	183
736	512	182
737	513	182
738	513	181
739	514	180
740	514	179
741	515	179
742	515	178
743	516	177
744	516	176
745	517	176
746	517	175
747	518	174
748	519	174
749	520	173
750	520	172
751	521	171
752	521	171
753	522	170
754	522	169
755	523	168
756	523	168
757	524	167
758	525	166
759	525	166
760	526	165
761	527	164
762	527	163
763	528	163
764	528	162
765	529	161
766	529	160
767	530	160
768	531	159
769	531	158
770	532	158
771	533	157
772	533	156
773	534	155
774	534	155
775	535	154
776	535	153
777	536	152
778	536	152
779	537	151
780	538	150
781	538	150
782	539	149
783	540	148
784	540	148
785	541	147
786	541	146
787	542	145
788	542	145
789	543	144
790	544	143
791	544	143
792	545	142
793	546	141
794	546	140
795	547	140
796	547	139
797	548	138
798	548	138
799	549	137
800	550	136
801	550	135
802	551	135
803	552	134
804	552	133
805	553	133
806	553	132
807	554	131
808	555	131
809	555	130
810	556	129
811	557	128
812	557	128
813	558	127
814	559	126
815	559	126
816	560	125
817	560	124
818	561	124
819	562	123
820	562	122
821	563	122
822	564	121
823	564	120
824	565	119
825	565	119
826	566	118
827	567	117
828	567	117
829	568	116
830	568	115
831	569	115
832	570	114
833	570	113
834	571	112
835	571	112
836	572	111
837	573	110
838	573	110
839	574	109
840	574	108
841	575	107
842	576	107
843	576	106
844	577	105
845	577	105
846	578	104
847	579	103
848	579	103
849	580	102
850	580	101
851	581	100
852	581	100
853	582	99
854	583	98
855	583	98
856	584	97
857	584	96
858	585	96
859	585	95
860	586	94
861	586	93
862	587	93
863	588	92
864	588	91
865	589	91
866	589	90
867	590	89
868	591	89
869	591	88
